year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,link,link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports,type,details,details_english,era_persian,era_english,date_gregorian,date
1363,07,04,محمود تفضلی,,1984,09,26,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%AA%D9%81%D8%B6%D9%84%DB%8C,<No English page found>,Mahmoud Tafazeli,,,,,,,death,مترجم,Translator,جمهوری اسلامی,Islamic Republic,"September 26, 1984","مهر 04, 1363"
1363,07,05,سید عبدالله شیرازی,,1984,09,27,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Abdullah_Musawi_Shirazi,Abdullah Musawi Shirazi,,,,,,,death,مراجع تقلید شیعه,Shiite imitation authorities,جمهوری اسلامی,Islamic Republic,"September 27, 1984","مهر 05, 1363"
1363,07,19,سید کریم امیری فیروزکوهی,,1984,10,11,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%DA%A9%D8%B1%DB%8C%D9%85_%D8%A7%D9%85%DB%8C%D8%B1%DB%8C_%D9%81%DB%8C%D8%B1%D9%88%D8%B2%DA%A9%D9%88%D9%87%DB%8C,https://en.wikipedia.org/wiki/Seyed_Karim_Amiri_Firuzkuhi,Seyed Karim Amiri Firuzkuhi,,,,,,,death,شاعر,poet,جمهوری اسلامی,Islamic Republic,"October 11, 1984","مهر 19, 1363"
1363,07,19,میرزا خلیل کمره‌ای,,1984,10,11,https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D9%84_%DA%A9%D9%85%D8%B1%D9%87%E2%80%8C%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Khalil_Kamarah%27i,<No English name found>,,,,,,,death,نویسنده، محقق و فیلسوف (زاده ۱۲۷۷),"Author, researcher and philosopher (born 2)",جمهوری اسلامی,Islamic Republic,"October 11, 1984","مهر 19, 1363"
1363,07,25,آغاز نگارش جن‌نامه توسط هوشنگ گلشیری,"[{'text': 'جن\u200cنامه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87'}]",1984,10,17,,,Houshang Golshiri began writing,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"October 17, 1984","مهر 25, 1363"
1363,09,10,عباس مصدق,,1984,12,01,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D9%85%D8%B5%D8%AF%D9%82,<No English page found>,Abbas Mossadegh,,,,,,,death,بازیگر,Actor,جمهوری اسلامی,Islamic Republic,"December 01, 1984","آذر 10, 1363"
1363,09,12,بهرام صادقی,,1984,12,03,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%B5%D8%A7%D8%AF%D9%82%DB%8C,https://en.wikipedia.org/wiki/Bahram_Sadeghi,Bahram Sadeghi,,,,,,,death,نویسنده,Author,جمهوری اسلامی,Islamic Republic,"December 03, 1984","آذر 12, 1363"
1363,09,19,بنیان‌گذاری شورای عالی انقلاب فرهنگی,"[{'text': 'شورای عالی انقلاب فرهنگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B9%D8%A7%D9%84%DB%8C_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C'}]",1984,12,10,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B9%D8%A7%D9%84%DB%8C_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C,https://en.wikipedia.org/wiki/Supreme_Council_of_the_Cultural_Revolution,Supreme Council of the Cultural Revolution,1.0,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"December 10, 1984","آذر 19, 1363"
1363,10,20,غلام‌عباس آرام,,1985,01,10,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%E2%80%8C%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A2%D8%B1%D8%A7%D9%85,https://en.wikipedia.org/wiki/Abbas_Aram,Abbas Aram,,,,,,,death,سیاستمدار و از وزیران امور خارجه ایران در دوره پهلوی.,Politicians and Iranian Foreign Ministers in the Pahlavi era.,جمهوری اسلامی,Islamic Republic,"January 10, 1985","دی 20, 1363"
1363,11,04,نخستین بزرگ‌ترین پیروزی تیم ملی فوتبال ایران در مقابل تیم ملی فوتبال چین,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",1985,01,24,,,The first biggest victory of the Iranian national football team against the Chinese national football team,,,,,,1.0,event,,,جمهوری اسلامی,Islamic Republic,"January 24, 1985","بهمن 04, 1363"
1363,12,07,بنیان‌گذاری سازمان انتشارات سمت.,[],1985,02,26,,,Founding the Post Publishing Organization.,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"February 26, 1985","اسفند 07, 1363"
1363,12,16,بمباران پادگان ابوذر توسط هواگردهای جنگنده نیروی هوایی عراق,"[{'text': 'پادگان ابوذر', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%DA%AF%D8%A7%D9%86_%D8%A7%D8%A8%D9%88%D8%B0%D8%B1'}]",1985,03,07,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%DA%AF%D8%A7%D9%86_%D8%A7%D8%A8%D9%88%D8%B0%D8%B1,<No English page found>,Bombing Abu Dharr garrison by Iraqi Air Force fighter jets,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 07, 1985","اسفند 16, 1363"
1363,12,17,بمباران هوایی پیرانشهر در جریان جنگ ایران و عراق و مرگ ۹۰ تن از اهالی شهر,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'پیرانشهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B1%D8%A7%D9%86%D8%B4%D9%87%D8%B1'}]",1985,03,08,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 08, 1985","اسفند 17, 1363"
1363,12,19,آغاز عملیات بدر,"[{'text': 'عملیات بدر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1'}]",1985,03,10,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1,https://en.wikipedia.org/wiki/Operation_Badr_(1985),Operation Badr (1985),,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 10, 1985","اسفند 19, 1363"
1363,12,21,پرتاب اولین موشک بالستیک ایران از کرمانشاه به سوی پالایشگاه کرکوک در عراق,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'موشک بالستیک', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B4%DA%A9_%D8%A8%D8%A7%D9%84%D8%B3%D8%AA%DB%8C%DA%A9'}, {'text': 'کرمانشاه', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%D8%A7%D9%86%D8%B4%D8%A7%D9%87'}, {'text': 'کرکوک', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%DA%A9%D9%88%DA%A9'}]",1985,03,12,https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B4%DA%A9_%D8%A8%D8%A7%D9%84%D8%B3%D8%AA%DB%8C%DA%A9,https://en.wikipedia.org/wiki/Ballistic_missile,Ballistic missile,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 12, 1985","اسفند 21, 1363"
1363,12,22,حسین گل‌گلاب,,1985,03,13,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%DA%AF%D9%84%E2%80%8C%DA%AF%D9%84%D8%A7%D8%A8,https://en.wikipedia.org/wiki/Hossein_Gol-e-Golab,Hossein Gol-e-Golab,,,,,,,death,شاعر,poet,جمهوری اسلامی,Islamic Republic,"March 13, 1985","اسفند 22, 1363"
1363,12,24,بمب‌گذاری نمازجمعه تهران,"[{'text': 'جمعه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D8%B9%D9%87'}]",1985,03,15,,,Tehran Prayer Bombings,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 15, 1985","اسفند 24, 1363"
1363,12,25,مهدی باکری,,1985,03,16,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A8%D8%A7%DA%A9%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Mehdi_Bakeri,Mehdi Bakeri,,,,,,,death,فرمانده سپاه,Commander of the Corps,جمهوری اسلامی,Islamic Republic,"March 16, 1985","اسفند 25, 1363"
1363,12,26,علی‌اکبر شهنازی,,1985,03,17,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%B4%D9%87%D9%86%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Ali-Akbar_Shahnazi,Ali-Akbar Shahnazi,,,,,,,death,موسیقی‌دان,Musicist,جمهوری اسلامی,Islamic Republic,"March 17, 1985","اسفند 26, 1363"
1363,12,29,پایان عملیات بدر,"[{'text': 'عملیات بدر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1'}]",1985,03,20,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1,https://en.wikipedia.org/wiki/Operation_Badr_(1985),Operation Badr (1985),,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"March 20, 1985","اسفند 29, 1363"
1364,03,09,فریدون توللی,,1985,05,30,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D8%AA%D9%88%D9%84%D9%84%DB%8C,https://en.wikipedia.org/wiki/Fereidoon_Tavallali,Fereidoon Tavallali,,,,,,,death,شاعر,poet,جمهوری اسلامی,Islamic Republic,"May 30, 1985","خرداد 09, 1364"
1364,03,17,عملیات ظفر ۱,"[{'text': 'عملیات ظفر ۱', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1'}]",1985,06,07,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1,<No English page found>,Operation Zafar 1,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"June 07, 1985","خرداد 17, 1364"
1364,03,17,عملیات ظفر ۱,"[{'text': 'عملیات ظفر ۱', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1'}]",1985,06,07,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1,<No English page found>,Operation Zafar 1,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"June 07, 1985","خرداد 17, 1364"
1364,03,31,بهرام آریانا,,1985,06,21,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A2%D8%B1%DB%8C%D8%A7%D9%86%D8%A7,https://en.wikipedia.org/wiki/Bahram_Aryana,Bahram Aryana,,,,,,,death,ارتشبد نیروی زمینی شاهنشاهی ایران,Gen.,جمهوری اسلامی,Islamic Republic,"June 21, 1985","خرداد 31, 1364"
1364,04,04,عملیات قدس ۲,"[{'text': 'عملیات قدس ۲', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%82%D8%AF%D8%B3_%DB%B2'}]",1985,06,25,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%82%D8%AF%D8%B3_%DB%B2,https://en.wikipedia.org/wiki/Operation_Quds-2,Operation Quds-2,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"June 25, 1985","تیر 04, 1364"
1364,04,05,آغاز عملیات ظفر ۲ در پنجوین با تلاش ارتش جمهوری اسلامی ایران,"[{'text': 'ارتش جمهوری اسلامی ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'پنجوین', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D9%86%D8%AC%D9%88%DB%8C%D9%86'}]",1985,06,26,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army,Islamic Republic of Iran Army,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"June 26, 1985","تیر 05, 1364"
1364,04,17,محمدمهدی ربانی املشی,,1985,07,08,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%85%D9%87%D8%AF%DB%8C_%D8%B1%D8%A8%D8%A7%D9%86%DB%8C_%D8%A7%D9%85%D9%84%D8%B4%DB%8C,<No English page found>,Mohammad Mehdi Rabbani Amlashi,,,,,,,death,روحانی و سیاست‌مدار,Rouhani and politician,جمهوری اسلامی,Islamic Republic,"July 08, 1985","تیر 17, 1364"
1364,05,06,مسعود منفرد نیاکی,,1985,07,28,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%B3%D8%B9%D9%88%D8%AF_%D9%85%D9%86%D9%81%D8%B1%D8%AF_%D9%86%DB%8C%D8%A7%DA%A9%DB%8C,https://en.wikipedia.org/wiki/Masoud_Monfared_Niyaki,Masoud Monfared Niyaki,,,,,,,death,فرمانده لشکر ۹۲ زرهی اهواز,Commander of Ahwaz Armored Division,جمهوری اسلامی,Islamic Republic,"July 28, 1985","مرداد 06, 1364"
1364,05,23,عملیات کوچک عاشورای ۱ در منطقه تکاب در شمال کردستان توسط سپاه پاسداران,[],1985,08,14,,,Small Ashura Operation in Takab area in northern Kurdistan by the Revolutionary Guards,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"August 14, 1985","مرداد 23, 1364"
1364,06,08,پریناز ایزدیار، بازیگر,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'پریناز ایزدیار', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%DB%8C%D9%86%D8%A7%D8%B2_%D8%A7%DB%8C%D8%B2%D8%AF%DB%8C%D8%A7%D8%B1'}]",1985,08,30,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%DB%8C%D9%86%D8%A7%D8%B2_%D8%A7%DB%8C%D8%B2%D8%AF%DB%8C%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Parinaz_Izadyar,Parinaz Izadyar,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"August 30, 1985","شهریور 08, 1364"
1364,06,08,احسان لشگری، کشتی‌گیر,"[{'text': 'احسان لشگری', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86_%D9%84%D8%B4%DA%AF%D8%B1%DB%8C'}]",1985,08,30,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86_%D9%84%D8%B4%DA%AF%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Ehsan_Lashgari,Ehsan Lashgari,,,,,,1.0,event,,,جمهوری اسلامی,Islamic Republic,"August 30, 1985","شهریور 08, 1364"
1364,06,12,سید روح الله خمینی برای بار دوم حکم ریاست جمهوری سید علی خامنه ای را تنفیذ کرد,[],1985,09,03,,,Sayyid Ruhollah Khomeini has appointed Sayyid Ali Khamenei's presidency for the second time,1.0,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"September 03, 1985","شهریور 12, 1364"
1364,06,15,حیدر غیایی,,1985,09,06,https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%AF%D8%B1_%D8%BA%DB%8C%D8%A7%DB%8C%DB%8C,https://en.wikipedia.org/wiki/Heydar_Ghiai,Heydar Ghiai,,,,,,,death,معمار,Architect,جمهوری اسلامی,Islamic Republic,"September 06, 1985","شهریور 15, 1364"
1364,06,26,تشکیل نیروهای سه‌گانه در سپاه پاسداران به فرمان سید روح‌الله خمینی,"[{'text': 'سید روح\u200cالله خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}]",1985,09,17,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C,https://en.wikipedia.org/wiki/Ruhollah_Khomeini,Ruhollah Khomeini,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"September 17, 1985","شهریور 26, 1364"
1364,07,30,آغاز عملیات عاشورا ۴، در غرب دریاچه ام‌النعاج در هورالهویزه,"[{'text': 'دریاچه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%DB%8C%D8%A7%DA%86%D9%87'}, {'text': 'عاشورا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7'}, {'text': 'غرب', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D8%B1%D8%A8'}, {'text': 'هورالهویزه', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B1%D8%A7%D9%84%D8%B9%D8%B8%DB%8C%D9%85'}]",1985,10,22,,,"The beginning of Operation Ashura 2, west of Lake Umm al -Naji in Horavaleh",,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"October 22, 1985","مهر 30, 1364"
1364,08,04,یحیی آرین پور,,1985,10,26,https://fa.wikipedia.org/wiki/%DB%8C%D8%AD%DB%8C%DB%8C_%D8%A2%D8%B1%DB%8C%D9%86%E2%80%8C%D9%BE%D9%88%D8%B1,<No English page found>,Yahya Arianpour,,,,,,,death,محقق، ادیب و شاعر (زاده ۱۲۸۶),"Researcher, Adib and Poet (born 2)",جمهوری اسلامی,Islamic Republic,"October 26, 1985","آبان 04, 1364"
1364,08,09,آراپیک باغداساریان,,1985,10,31,https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%D8%A7%D9%BE%DB%8C%DA%A9_%D8%A8%D8%A7%D8%BA%D8%AF%D8%A7%D8%B3%D8%A7%D8%B1%DB%8C%D8%A7%D9%86,https://en.wikipedia.org/wiki/Arabik_Baghdasarian,Arabik Baghdasarian,,,,,,,death,طراح، کارگردان، کاریکاتوریست و مترجم ارمنی‌تبار,"Designer, Director, Caricature and Armenian Translator",جمهوری اسلامی,Islamic Republic,"October 31, 1985","آبان 09, 1364"
1364,09,02,غلامحسین ساعدی,,1985,11,23,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D8%A7%D8%B9%D8%AF%DB%8C,https://en.wikipedia.org/wiki/Gholam-Hossein_Sa%27edi,<No English name found>,,,,,,,death,نویسنده,Author,جمهوری اسلامی,Islamic Republic,"November 23, 1985","آذر 02, 1364"
1364,09,15,انتشار اولین شماره ماهنامه آدینه,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1985,12,06,,,Publishing the first issue of Adina Monthly,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"December 06, 1985","آذر 15, 1364"
1364,10,22,انجام چهارمین عملیات هوایی عراق برای نابودی نیروگاه اتمی بوشهر,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'نیروگاه اتمی بوشهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D8%B1%D9%88%DA%AF%D8%A7%D9%87_%D9%87%D8%B3%D8%AA%D9%87%E2%80%8C%D8%A7%DB%8C_%D8%A8%D9%88%D8%B4%D9%87%D8%B1'}]",1986,01,12,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D8%B1%D9%88%DA%AF%D8%A7%D9%87_%D9%87%D8%B3%D8%AA%D9%87%E2%80%8C%D8%A7%DB%8C_%D8%A8%D9%88%D8%B4%D9%87%D8%B1,https://en.wikipedia.org/wiki/Bushehr_Nuclear_Power_Plant,Bushehr Nuclear Power Plant,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"January 12, 1986","دی 22, 1364"
1364,11,20,آغاز عملیات والفجر ۸,"[{'text': 'عملیات والفجر ۸', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D9%81%D8%AC%D8%B1_%DB%B8'}]",1986,02,09,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D9%81%D8%AC%D8%B1_%DB%B8,https://en.wikipedia.org/wiki/Operation_Dawn_8,First Battle of al-Faw,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"February 09, 1986","بهمن 20, 1364"
1364,12,01,حادثه ۱ اسفند فروند فوکر اف۲۷ فرندشیپ.,"[{'text': 'اسفند', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF'}]",1986,02,20,,,The incident of March 6th Fokker F -Freundship.,,,,,,,event,,,جمهوری اسلامی,Islamic Republic,"February 20, 1986","اسفند 01, 1364"
1364,12,01,سید نورالدین رحیمی,,1986,02,20,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B1%D8%AD%DB%8C%D9%85%DB%8C,<No English page found>,Sayed Noureddin Rahimi,,,,,,,death,روحانی,Rouhani,جمهوری اسلامی,Islamic Republic,"February 20, 1986","اسفند 01, 1364"
1364,12,01,فضل‌الله محلاتی,,1986,02,20,https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D8%AD%D9%84%D8%A7%D8%AA%DB%8C,<No English page found>,Fazlullah Mahallati,,,,,,,death,نماینده سید روح‌الله خمینی در سپاه پاسداران انقلاب اسلامی,Representative of Sayyid Ruhollah Khomeini in the Islamic Revolutionary Guard Corps,جمهوری اسلامی,Islamic Republic,"February 20, 1986","اسفند 01, 1364"
1364,12,01,عبدالباقی درویش,,1986,02,20,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%A8%D8%A7%D9%82%DB%8C_%D8%AF%D8%B1%D9%88%DB%8C%D8%B4,https://en.wikipedia.org/wiki/Abdolbaghi_Darvish,Abdolbaghi Darvish,,,,,,,death,خلبان و آموزگار نیروی هوایی ارتش جمهوری اسلامی ایران,Islamic Republic of Iran Army Air Force pilot and teacher,جمهوری اسلامی,Islamic Republic,"February 20, 1986","اسفند 01, 1364"
1364,12,08,غلامحسین بنان,,1986,02,27,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%A8%D9%86%D8%A7%D9%86,https://en.wikipedia.org/wiki/Gholam-Hossein_Banan,Gholam-Hossein Banan,,,,,,,death,خواننده و بنیان‌گذار انجمن موسیقی ایران,Singer and founder of the Iranian Music Association,جمهوری اسلامی,Islamic Republic,"February 27, 1986","اسفند 08, 1364"
1365,01,14,سید محمدکاظم شریعتمداری,,1986,04,03,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF%DA%A9%D8%A7%D8%B8%D9%85_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%D9%85%D8%AF%D8%A7%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Mohammad_Kazem_Shariatmadari,Mohammad Kazem Shariatmadari,,,,,,,death,مرجع تقلید شیعه,Shiite imitation authority,جمهوری اسلامی,Islamic Republic,"April 03, 1986","فروردین 14, 1365"
1365,01,19,تقی محمدی,,1986,04,08,https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D9%85%D8%AD%D9%85%D8%AF%DB%8C,<No English page found>,Taghi Mohammadi,,,,,,,death,از افراد فعال در گروگان‌گیری در سفارت ایالات متحده آمریکا,Of the active people in hostage at the US Embassy,جمهوری اسلامی,Islamic Republic,"April 08, 1986","فروردین 19, 1365"
1365,02,07,آتش خیر,,1986,04,27,https://fa.wikipedia.org/wiki/%D8%A2%D8%AA%D8%B4_%D8%AE%DB%8C%D8%B1,<No English page found>,No fire,,,,,,,death,بازیگر,Actor,جمهوری اسلامی,Islamic Republic,"April 27, 1986","اردیبهشت 07, 1365"
1365,02,29,خان‌بابا معتضدی,,1986,05,19,https://fa.wikipedia.org/wiki/%D8%AE%D8%A7%D9%86%E2%80%8C%D8%A8%D8%A7%D8%A8%D8%A7_%D9%85%D8%B9%D8%AA%D8%B6%D8%AF%DB%8C,https://en.wikipedia.org/wiki/Khan_Baba_Motazedi,Khan Baba Motazedi,,,,,,,death,نخستین فیلم‌بردار حرفه‌ای سینمای ایران,The first professional filmmaker of Iranian cinema,جمهوری اسلامی,Islamic Republic,"May 19, 1986","اردیبهشت 29, 1365"
