year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english,person_name_english
1378,3,20,ذبیح‌الله صفا,پژوهشگر و نویسنده (زادهٔ ۱۲۹۰),"[{'text': 'ذبیح\u200cالله صفا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B0%D8%A8%DB%8C%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%B5%D9%81%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%B0%D8%A8%DB%8C%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%B5%D9%81%D8%A7,1999,6,10,https://en.wikipedia.org/wiki/Zabihollah_Safa,Zabihollah Safa
1378,3,20,عبدالله توکل,مترجم (زادهٔ ۱۳۰۳),"[{'text': 'عبدالله توکل', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%AA%D9%88%DA%A9%D9%84'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%AA%D9%88%DA%A9%D9%84,1999,6,10,<No English page found>,Abdullah Tavakol
1378,3,20,مهدی تاکستانی,موسیقیدان (زادهٔ ۱۳۰۴),"[{'text': 'مهدی تاکستانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%AA%D8%A7%DA%A9%D8%B3%D8%AA%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%AA%D8%A7%DA%A9%D8%B3%D8%AA%D8%A7%D9%86%DB%8C,1999,6,10,<No English page found>,Mehdi Takestan
1378,4,6,گارگین ساروخانیان,پزشک ایرانی ارمنی‌تبار (زاده ۱۳۰۲),"[{'text': 'گارگین ساروخانیان', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D8%B1%DA%AF%DB%8C%D9%86_%D8%B3%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%DB%8C%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D8%B1%DA%AF%DB%8C%D9%86_%D8%B3%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%DB%8C%D8%A7%D9%86,1999,6,27,<No English page found>,Gargin Sarokhanian
1378,4,18,فرشته علیزاده,کشته شده در وقایع حمله به کوی دانشگاه تهران (زاده ؟),"[{'text': 'فرشته علیزاده', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%B4%D8%AA%D9%87_%D8%B9%D9%84%DB%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%B4%D8%AA%D9%87_%D8%B9%D9%84%DB%8C%D8%B2%D8%A7%D8%AF%D9%87,1999,7,9,<No English page found>,Angel Alizadeh
1378,4,18,تامی حامی‌فر,کشته شده در وقایع حمله به کوی دانشگاه تهران (زاده ؟),"[{'text': 'تامی حامی\u200cفر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%A7%D9%85%DB%8C_%D8%AD%D8%A7%D9%85%DB%8C%E2%80%8C%D9%81%D8%B1'}]",https://fa.wikipedia.org/wiki/%D8%AA%D8%A7%D9%85%DB%8C_%D8%AD%D8%A7%D9%85%DB%8C%E2%80%8C%D9%81%D8%B1,1999,7,9,<No English page found>,Tommy Hammifar
1378,5,18,میرزا رحیم سامت,فقیه و عالم (زاده ۱۲۸۱),"[{'text': 'میرزا رحیم سامت', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%B1%D8%AD%DB%8C%D9%85_%D8%B3%D8%A7%D9%85%D8%AA'}]",https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%B1%D8%AD%DB%8C%D9%85_%D8%B3%D8%A7%D9%85%D8%AA,1999,8,9,<No English page found>,Mirza Rahim Semat
1378,6,3,علی قهاری,مجسمه‌ساز (زاده ۱۳۰۵),"[{'text': 'علی قهاری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D9%82%D9%87%D8%A7%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D9%82%D9%87%D8%A7%D8%B1%DB%8C,1999,8,25,<No English page found>,Ali Qahari
1378,7,13,روح‌الله امامی,تدوینگر (زادهٔ ۱۳۱۹),"[{'text': 'روح\u200cالله امامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%85%D8%A7%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%85%D8%A7%D9%85%DB%8C,1999,10,5,<No English page found>,Ruhollah Emami
1378,7,13,پهلوان یعقوبعلی شورورزی,کشتی‌گیر (زاده ۱۳۰۲),"[{'text': 'یعقوبعلی شورورزی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%B9%D9%82%D9%88%D8%A8%D8%B9%D9%84%DB%8C_%D8%B4%D9%88%D8%B1%D9%88%D8%B1%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D8%B9%D9%82%D9%88%D8%A8%D8%B9%D9%84%DB%8C_%D8%B4%D9%88%D8%B1%D9%88%D8%B1%D8%B2%DB%8C,1999,10,5,https://en.wikipedia.org/wiki/Yaghoub_Ali_Shourvarzi,Yaghoub Ali Shourvarzi
1378,7,21,هادی روحانی,امام جمعه بابل (زاده ۱۳۰۲),"[{'text': 'هادی روحانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D8%A7%D8%AF%DB%8C_%D8%B1%D9%88%D8%AD%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%87%D8%A7%D8%AF%DB%8C_%D8%B1%D9%88%D8%AD%D8%A7%D9%86%DB%8C,1999,10,13,https://en.wikipedia.org/wiki/Hadi_Rohani,Hadi Rohani
1378,8,4,منصور صارمی,موسیقیدان (زاده ۱۳۱۳),"[{'text': 'منصور صارمی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%86%D8%B5%D9%88%D8%B1_%D8%B5%D8%A7%D8%B1%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D9%86%D8%B5%D9%88%D8%B1_%D8%B5%D8%A7%D8%B1%D9%85%DB%8C,1999,10,26,<No English page found>,Mansour Saremi
1378,8,21,جهانگیر پارساخو,روزنامه‌نگار و طراح جدول در مطبوعات ایران (زاده ۱۳۱۳),"[{'text': 'جهانگیر پارساخو', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%A7%D9%86%DA%AF%DB%8C%D8%B1_%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D8%AE%D9%88'}]",https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%A7%D9%86%DA%AF%DB%8C%D8%B1_%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D8%AE%D9%88,1999,11,12,<No English page found>,Jahangir Parshakh
1378,9,4,هرمز وحید,گرافیست (زاده ۱۳۰۷),"[{'text': 'هرمز وحید', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D8%B1%D9%85%D8%B2_%D9%88%D8%AD%DB%8C%D8%AF'}]",https://fa.wikipedia.org/wiki/%D9%87%D8%B1%D9%85%D8%B2_%D9%88%D8%AD%DB%8C%D8%AF,1999,11,25,<No English page found>,Hormuz Vahid
1378,9,6,جعفر شهری,نویسنده (زادهٔ ۱۲۹۳),"[{'text': 'جعفر شهری', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D8%B4%D9%87%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D8%B4%D9%87%D8%B1%DB%8C,1999,11,27,<No English page found>,Ja'far Shahri
1378,9,17,حسین مکی,روزنامه‌نگار و سیاستمدار (زاده ۱۲۹۰),"[{'text': 'حسین مکی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DA%A9%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DA%A9%DB%8C,1999,12,8,https://en.wikipedia.org/wiki/Hossein_Makki,Hossein Makki
1378,9,25,غلامحسین بهمنیار,بازیگر (زاده ۱۳۰۶),"[{'text': 'غلامحسین بهمنیار', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%A8%D9%87%D9%85%D9%86%DB%8C%D8%A7%D8%B1'}]",https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%A8%D9%87%D9%85%D9%86%DB%8C%D8%A7%D8%B1,1999,12,16,<No English page found>,Gholamhossein Bahmanyar
1378,10,15,ملوک ضرابی,خواننده موسیقی سنتی ایران (زاده ۱۲۸۶),"[{'text': 'ملوک ضرابی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%84%D9%88%DA%A9_%D8%B6%D8%B1%D8%A7%D8%A8%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D9%84%D9%88%DA%A9_%D8%B6%D8%B1%D8%A7%D8%A8%DB%8C,2000,1,5,https://en.wikipedia.org/wiki/Moluk_Zarabi,Moluk Zarabi
1378,10,24,بیژن جلالی,شاعر (زاده ۱۳۰۶),"[{'text': 'بیژن جلالی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%DA%98%D9%86_%D8%AC%D9%84%D8%A7%D9%84%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%DA%98%D9%86_%D8%AC%D9%84%D8%A7%D9%84%DB%8C,2000,1,14,https://en.wikipedia.org/wiki/Bijan_Jalali,Bijan Jalali
1378,10,30,جهانگیر حق‌شناس,وزیر راه در کابینه دوم محمد مصدق (زاده ۱۲۸۹),"[{'text': 'جهانگیر حق\u200cشناس', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%A7%D9%86%DA%AF%DB%8C%D8%B1_%D8%AD%D9%82%E2%80%8C%D8%B4%D9%86%D8%A7%D8%B3'}]",https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%A7%D9%86%DA%AF%DB%8C%D8%B1_%D8%AD%D9%82%E2%80%8C%D8%B4%D9%86%D8%A7%D8%B3,2000,1,20,<No English page found>,Jahangir Righteous
1378,11,11,جعفر سلماسی,وزنه‌بردار (زاده ۱۲۹۰),"[{'text': 'جعفر سلماسی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D8%B3%D9%84%D9%85%D8%A7%D8%B3%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D8%B3%D9%84%D9%85%D8%A7%D8%B3%DB%8C,2000,1,31,https://en.wikipedia.org/wiki/Jafar_Salmasi,Jafar Salmasi
1378,11,21,علی اردلان,اولین وزیر دارایی جمهوری اسلامی (زاده ۱۲۹۳),"[{'text': 'علی اردلان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A7%D8%B1%D8%AF%D9%84%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A7%D8%B1%D8%AF%D9%84%D8%A7%D9%86,2000,2,10,https://en.wikipedia.org/wiki/Ali_Ardalan,Ali Ardalan
1378,12,4,سید علینقی نقوی,سیاستمدار (زاده ۱۳۱۳),"[{'text': 'سید علینقی نقوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C%D9%86%D9%82%DB%8C_%D9%86%D9%82%D9%88%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C%D9%86%D9%82%DB%8C_%D9%86%D9%82%D9%88%DB%8C,2000,2,23,<No English page found>,Seyed Alinaghi Naqavi
1378,12,23,رستم شهزادی,از مترجمین گاهان و متونِ مزدیسنا، موبد و موبدان‌موبدِ (زاده ۱۲۹۱),"[{'text': 'رستم شهزادی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B3%D8%AA%D9%85_%D8%B4%D9%87%D8%B2%D8%A7%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B1%D8%B3%D8%AA%D9%85_%D8%B4%D9%87%D8%B2%D8%A7%D8%AF%DB%8C,2000,3,13,<No English page found>,Rostam Shahrzadi
1379,1,14,عباس سحاب,جغرافی‌دان و نقشه نگار (زاده ۱۳۰۰),"[{'text': 'عباس سحاب', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%B3%D8%AD%D8%A7%D8%A8'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%B3%D8%AD%D8%A7%D8%A8,2000,4,2,https://en.wikipedia.org/wiki/Abbas_Sahab,Abbas Sahab
1379,1,18,سیروس جراح‌زاده,بازیگر و کارگردان (زاده ۱۳۰۹),"[{'text': 'سیروس جراح\u200cزاده', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D8%AC%D8%B1%D8%A7%D8%AD%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D8%AC%D8%B1%D8%A7%D8%AD%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,2000,4,6,<No English page found>,Sirus Surgeon
1379,1,28,جواد شیخ‌الاسلامی,تاریخنگار (زاده ۱۳۰۰),"[{'text': 'جواد شیخ\u200cالاسلامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%88%D8%A7%D8%AF_%D8%B4%DB%8C%D8%AE%E2%80%8C%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AC%D9%88%D8%A7%D8%AF_%D8%B4%DB%8C%D8%AE%E2%80%8C%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C,2000,4,16,<No English page found>,Javad Sheikh al -Islami
1379,1,29,احمد مندوب هاشمی,بازیگر، دوبلور و مجری ایرانی,"[{'text': 'احمد مندوب هاشمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%85%D9%86%D8%AF%D9%88%D8%A8_%D9%87%D8%A7%D8%B4%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%85%D9%86%D8%AF%D9%88%D8%A8_%D9%87%D8%A7%D8%B4%D9%85%DB%8C,2000,4,17,<No English page found>,Ahmad Mandub Hashemi
1379,2,16,عبدالله شیبانی,پانزدهمین رئیس دانشگاه تهران (زاده ۱۲۸۲),"[{'text': 'عبدالله شیبانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%B4%DB%8C%D8%A8%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%B4%DB%8C%D8%A8%D8%A7%D9%86%DB%8C,2000,5,5,<No English page found>,Abdullah Sheibani
1379,2,16,احمد گلچین معانی,شاعر ایرانی (زادهٔ ۱۲۹۵),"[{'text': 'احمد گلچین معانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%AF%D9%84%DA%86%DB%8C%D9%86_%D9%85%D8%B9%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%AF%D9%84%DA%86%DB%8C%D9%86_%D9%85%D8%B9%D8%A7%D9%86%DB%8C,2000,5,5,<No English page found>,Ahmad Golchin Maani
1379,2,21,شیخ علی حجتی کرمانی,خطیب و نویسنده (زاده ۱۳۱۶),"[{'text': 'علی حجتی کرمانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AD%D8%AC%D8%AA%DB%8C_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AD%D8%AC%D8%AA%DB%8C_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,2000,5,10,<No English page found>,Sheikh Ali Hojati Kermani
1379,3,12,سید عباس ابوترابی‌فرد,سیاستمدار (زاده ۱۲۹۵),"[{'text': 'سید عباس ابوترابی\u200cفرد', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D8%A8%D9%88%D8%AA%D8%B1%D8%A7%D8%A8%DB%8C%E2%80%8C%D9%81%D8%B1%D8%AF'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D8%A8%D9%88%D8%AA%D8%B1%D8%A7%D8%A8%DB%8C%E2%80%8C%D9%81%D8%B1%D8%AF,2000,6,1,<No English page found>,Sayyid Abbas Abuotrabi Fred
1379,3,13,آنتونی کوئین,بازیگر آمریکایی (زاده ۱۲۹۴),"[{'text': 'آنتونی کوئین', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%86%D8%AA%D9%88%D9%86%DB%8C_%DA%A9%D9%88%D8%A6%DB%8C%D9%86'}]",https://fa.wikipedia.org/wiki/%D8%A2%D9%86%D8%AA%D9%88%D9%86%DB%8C_%DA%A9%D9%88%D8%A6%DB%8C%D9%86,2000,6,2,https://en.wikipedia.org/wiki/Anthony_Quinn,Anthony Quinn
1379,4,14,مهرانگیز منوچهریان,سیاست‌مدار ایرانی (زادهٔ ۱۲۸۵),"[{'text': 'مهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1'}, {'text': 'مهرانگیز منوچهریان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D8%A7%D9%86%DA%AF%DB%8C%D8%B2_%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1%DB%8C%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D8%A7%D9%86%DA%AF%DB%8C%D8%B2_%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1%DB%8C%D8%A7%D9%86,2000,7,4,https://en.wikipedia.org/wiki/Mehrangiz_Manouchehrian,Mehrangiz Manouchehrian
1379,5,2,احمد شاملو,شاعر، نویسنده، روزنامه‌نگار، پژوهشگر، مترجم و فرهنگ‌نویس (زادهٔ ۱۳۰۴),"[{'text': 'احمد شاملو', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B4%D8%A7%D9%85%D9%84%D9%88'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B4%D8%A7%D9%85%D9%84%D9%88,2000,7,23,https://en.wikipedia.org/wiki/Ahmad_Shamlou,Ahmad Shamlou
1379,5,19,عبدالحسین سمیعی,وزیر علوم و آموزش عالی ایران در دولت امیرعباس هویدا (زاده ۱۳۰۹),"[{'text': 'عبدالحسین سمیعی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C,2000,8,9,<No English page found>,Abdul Hussein Samii
1379,5,21,روبیک منصوری,آهنگ ساز، تنظیم‌کننده موسیقی (زاده ۱۳۱۶),"[{'text': 'روبیک منصوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%A8%DB%8C%DA%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%A8%DB%8C%DA%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1%DB%8C,2000,8,11,<No English page found>,Rubik Mansouri
1379,6,27,محمدتقی شکرایی,بازیگر و تهیه‌کننده (زاده ۱۳۰۴),"[{'text': 'محمدتقی شکرایی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B4%DA%A9%D8%B1%D8%A7%DB%8C%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B4%DA%A9%D8%B1%D8%A7%DB%8C%DB%8C,2000,9,17,<No English page found>,Mohammad Taghi Shakrai
1379,7,14,فریدون گرایلی,معلم، پژوهشگر، نویسنده، شاعر (زاده ۱۳۲۱),"[{'text': 'فریدون گرایلی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%DA%AF%D8%B1%D8%A7%DB%8C%D9%84%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%DA%AF%D8%B1%D8%A7%DB%8C%D9%84%DB%8C,2000,10,5,<No English page found>,Fereydoon Greeley
1379,8,3,فریدون مشیری,شاعر ایرانی (زادهٔ ۱۳۰۵),"[{'text': 'فریدون مشیری', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C,2000,10,24,https://en.wikipedia.org/wiki/Fereydoon_Moshiri,Fereydoon Moshiri
1379,8,19,محسن کلهر,صدابردار و صداگذار (زاده ۱۳۱۷),"[{'text': 'محسن کلهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D8%B3%D9%86_%DA%A9%D9%84%D9%87%D8%B1'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D8%B3%D9%86_%DA%A9%D9%84%D9%87%D8%B1,2000,11,9,<No English page found>,Mohsen Kalhor
1379,8,29,ایرج وامقی,شاعر و زبان‌شناس (زاده ۱۳۱۱),"[{'text': 'ایرج وامقی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%88%D8%A7%D9%85%D9%82%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%88%D8%A7%D9%85%D9%82%DB%8C,2000,11,19,<No English page found>,Iraj Waqi
1379,9,9,فریده قطبی,مادر فرح پهلوی.,"[{'text': 'فریده قطبی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%87_%D9%82%D8%B7%D8%A8%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%87_%D9%82%D8%B7%D8%A8%DB%8C,2000,11,29,https://en.wikipedia.org/wiki/Farideh_Ghotbi,Farideh Ghotbi
1379,9,11,علی‌اصغر گرمسیری,بازیگر تئاتر (زاده ۱۲۹۰),"[{'text': 'علی\u200cاصغر گرمسیری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%D8%B5%D8%BA%D8%B1_%DA%AF%D8%B1%D9%85%D8%B3%DB%8C%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%D8%B5%D8%BA%D8%B1_%DA%AF%D8%B1%D9%85%D8%B3%DB%8C%D8%B1%DB%8C,2000,12,1,<No English page found>,Ali Asghar Tropical
1379,10,9,هوشنگ حسامی,روزنامه‌نگار و کارگردان (زاده ۱۳۱۷),"[{'text': 'هوشنگ حسامی', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B4%D9%86%DA%AF_%D8%AD%D8%B3%D8%A7%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B4%D9%86%DA%AF_%D8%AD%D8%B3%D8%A7%D9%85%DB%8C,2000,12,29,<No English page found>,Houshang Hesami
1379,10,28,یحیی ذکا,محقق ایرانی (زادهٔ ۱۲۹۱),"[{'text': 'یحیی ذکا', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%AD%DB%8C%DB%8C_%D8%B0%DA%A9%D8%A7'}]",https://fa.wikipedia.org/wiki/%DB%8C%D8%AD%DB%8C%DB%8C_%D8%B0%DA%A9%D8%A7,2001,1,17,<No English page found>,Yahya Zaka
1380,1,6,محمدعلی گویا,شاعر و طنز پرداز (زاده ۱۳۱۳),"[{'text': 'محمدعلی گویا', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%DA%AF%D9%88%DB%8C%D8%A7'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%DA%AF%D9%88%DB%8C%D8%A7,2001,3,26,<No English page found>,Mohammad Ali Goya
1380,1,11,محمدباقر نیو,بنیان‌گذار صنعت کاشی، نساجی جدید، ضرابخانه و چینی‌سازی در ایران و اولین دانش آموخته مهندسی در ایران (زاده ۱۲۸۸),"[{'text': 'محمدباقر نیو', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D9%86%DB%8C%D9%88'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D9%86%DB%8C%D9%88,2001,3,31,<No English page found>,Mohammad Bagher New
1380,1,29,عزت‌الله دامادی,سیاستمدار (زاده ۱۳۲۹),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'عزت\u200cالله دامادی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B2%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D8%A7%D9%85%D8%A7%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%B2%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D8%A7%D9%85%D8%A7%D8%AF%DB%8C,2001,4,18,<No English page found>,Ezzatollah Damadi
